198.83,01.00,00.75,-0.25,-0.25,00.31,22.06
201.22,01.00,00.50,-0.50,-0.25,00.19,22.06
202.85,01.00,00.50,-0.50,-0.25,00.19,22.06
205.22,00.75,00.50,-0.50,-0.25,00.12,22.06
206.79,00.75,00.25,-0.75,-0.50,-0.06,22.06
209.15,00.75,00.25,-0.75,-0.50,-0.06,22.06
211.46,00.50,00.25,-0.75,-0.50,-0.12,22.06
213.01,00.50,00.00,-0.75,-0.50,-0.19,22.06
215.32,00.50,00.00,-1.00,-0.75,-0.31,22.06
216.96,00.50,00.00,-1.00,-0.75,-0.31,22.06
219.34,00.25,00.00,-1.00,-0.50,-0.31,22.06
220.85,00.25,00.00,-1.00,-0.50,-0.31,22.12
223.19,00.25,00.00,-0.75,-0.50,-0.25,22.12
225.57,00.25,00.25,-0.75,-0.50,-0.19,22.12
227.08,00.50,00.25,-0.50,00.00,00.06,22.12
229.41,00.50,00.50,00.00,00.25,00.31,22.12
230.99,00.75,01.00,00.50,00.75,00.75,22.12
233.31,01.00,01.50,01.00,01.25,01.19,22.12
234.95,01.50,01.75,01.50,01.75,01.62,22.06
237.33,01.75,02.25,02.00,02.50,02.12,22.19
238.84,02.25,02.75,02.75,03.25,02.75,22.19
241.16,02.50,03.25,03.50,03.75,03.25,22.12
243.56,03.00,04.00,04.25,04.50,03.94,22.19
245.09,03.75,04.75,05.00,05.00,04.62,22.12
247.44,04.25,05.25,05.75,05.75,05.25,22.12
249.02,05.00,06.00,06.50,06.50,06.00,22.12
251.36,05.50,06.50,07.25,07.00,06.56,22.19
253.02,06.25,07.25,08.00,07.75,07.31,22.19
255.42,06.75,08.00,08.50,08.25,07.88,22.12
256.95,07.25,08.50,09.25,09.25,08.56,22.19
259.30,08.00,09.00,10.00,09.75,09.19,22.12
260.87,08.75,10.00,11.00,10.50,10.06,22.12
263.21,09.50,10.75,11.75,11.50,10.88,22.19
265.54,10.00,11.00,12.25,12.00,11.31,22.19
267.09,11.00,12.00,13.25,13.00,12.31,22.25
269.41,11.25,12.50,13.75,13.50,12.75,22.19
271.08,12.25,13.50,14.50,14.25,13.62,22.25
273.47,12.75,14.00,15.25,15.00,14.25,22.19
275.01,13.25,14.75,16.00,15.75,14.94,22.19
277.37,14.00,15.25,16.75,16.25,15.56,22.19
278.96,14.75,16.25,17.50,17.25,16.44,22.25
281.31,15.50,16.50,18.00,17.75,16.94,22.25
282.84,16.25,17.50,19.00,18.50,17.81,22.25
285.24,17.00,18.25,19.75,19.25,18.56,22.25
287.59,17.50,18.75,20.00,20.00,19.06,22.19
289.27,18.25,19.25,20.75,20.50,19.69,22.19
290.81,19.00,20.00,21.50,21.25,20.44,22.19
293.16,19.75,20.75,22.25,22.25,21.25,22.19
295.53,20.25,21.25,23.00,22.50,21.75,22.25
297.03,20.75,22.00,23.50,23.25,22.38,22.25
299.34,21.25,22.50,24.25,23.75,22.94,22.19
300.89,22.25,23.25,25.00,24.50,23.75,22.19
303.20,23.00,24.00,25.75,25.25,24.50,22.25
305.51,23.50,24.75,26.25,26.00,25.12,22.25
307.21,24.25,25.25,27.00,26.75,25.81,22.31
309.53,24.75,26.00,27.75,27.25,26.44,22.19
311.06,25.50,26.75,28.25,27.75,27.06,22.25
313.43,26.00,27.00,28.75,28.25,27.50,22.19
